code_geo,libelle_commune,revenu_median,annee
59619,Villereau,23520,2016
59620,Villers-au-Tertre,22096,2016
59622,Villers-en-Cauchies,20032,2016
59623,Villers-Guislain,18605,2016
59624,Villers-Outréaux,16908,2016
59625,Villers-Plouich,20781,2016
59626,Villers-Pol,23484,2016
59627,Villers-Sire-Nicole,21129,2016
59628,Volckerinckhove,21650,2016
59629,Vred,21858,2016
59630,Wahagnies,21150,2016
59631,Walincourt-Selvigny,18070,2016
59632,Wallers,18321,2016
59633,Wallers-en-Fagne,17901,2016
59634,Wallon-Cappel,22609,2016
59635,Wambaix,22709,2016
59636,Wambrechies,23672,2016
59637,Wandignies-Hamage,22768,2016
59638,Wannehain,23513,2016
59639,Wargnies-le-Grand,23606,2016
59640,Wargnies-le-Petit,23870,2016
59641,Warhem,21985,2016
59642,Warlaing,22718,2016
59643,Warneton,21032,2016
59645,Wasnes-au-Bac,19068,2016
59646,Wasquehal,23082,2016
59647,Watten,17349,2016
59648,Wattignies,19913,2016
59649,Wattignies-la-Victoire,22665,2016
59650,Wattrelos,17772,2016
59651,Wavrechain-sous-Denain,15514,2016
59652,Wavrechain-sous-Faulx,21545,2016
59653,Wavrin,21463,2016
59654,Waziers,15205,2016
59655,Wemaers-Cappel,20762,2016
59656,Wervicq-Sud,21083,2016
59657,West-Cappel,22167,2016
59658,Wicres,24158,2016
59659,Wignehies,15987,2016
59660,Willems,22502,2016
59661,Willies,20806,2016
59662,Winnezeele,21198,2016
59663,Wormhout,20671,2016
59664,Wulverdinghe,18247,2016
59665,Wylder,20002,2016
59666,Zegerscappel,20176,2016
59667,Zermezeele,21414,2016
59668,Zuydcoote,22548,2016
59669,Zuytpeene,19724,2016
59670,Don,22679,2016
59001,Abancourt,25560,2021
59002,Abscon,19560,2021
59003,Aibes,22970,2021
59004,Aix-en-Pévèle,29290,2021
59005,Allennes-les-Marais,26280,2021
59006,Amfroipret,27530,2021
59007,Anhiers,21640,2021
59008,Aniche,17820,2021
59009,Villeneuve-d'Ascq,22000,2021
59010,Anneux,24410,2021
59011,Annœullin,23710,2021
59012,Anor,18490,2021
59013,Anstaing,27530,2021
59014,Anzin,16780,2021
59015,Arleux,22420,2021
59016,Armbouts-Cappel,24750,2021
59017,Armentières,18920,2021
59018,Arnèke,22380,2021
59019,Artres,24790,2021
59021,Assevent,21460,2021
59022,Attiches,27220,2021
59023,Aubencheul-au-Bac,23320,2021
59024,Auberchicourt,19850,2021
59025,Aubers,29920,2021
59026,Aubigny-au-Bac,22220,2021
59027,Aubry-du-Hainaut,25190,2021
59028,Auby,18540,2021
59029,Auchy-lez-Orchies,26860,2021
59031,Audignies,26730,2021
59032,Aulnoy-lez-Valenciennes,20010,2021
59033,Aulnoye-Aymeries,17940,2021
59034,Avelin,29820,2021
59035,Avesnelles,20410,2021
59036,Avesnes-sur-Helpe,15750,2021
59037,Avesnes-les-Aubert,19200,2021
59038,Avesnes-le-Sec,22350,2021
59039,Awoingt,25920,2021
59041,Bachant,18880,2021
59042,Bachy,27800,2021
59043,Bailleul,23320,2021
59044,Baisieux,26930,2021
59045,Baives,19690,2021
59046,Bambecque,22820,2021
59047,Banteux,21280,2021
59048,Bantigny,24400,2021
59049,Bantouzelle,21660,2021
59050,Bas-Lieu,24480,2021
59051,La Bassée,20670,2021
59052,Bauvin,22360,2021
59053,Bavay,20510,2021
59054,Bavinchove,21980,2021
59055,Bazuel,19950,2021
59056,Beaucamps-Ligny,30650,2021
59057,Beaudignies,24550,2021
59058,Beaufort,23640,2021
59059,Beaumont-en-Cambrésis,19950,2021
59060,Beaurain,21050,2021
59061,Beaurepaire-sur-Sambre,19570,2021
59062,Beaurieux,22770,2021
59063,Beauvois-en-Cambrésis,19610,2021
59064,Bellaing,22420,2021
59065,Bellignies,23270,2021
59066,Bérelles,23480,2021
59067,Bergues,21670,2021
59068,Berlaimont,20240,2021
59069,Bermerain,23320,2021
59070,Bermeries,24140,2021
59071,Bersée,28630,2021
59072,Bersillies,26420,2021
59073,Berthen,23760,2021
59074,Bertry,20500,2021
59075,Béthencourt,22110,2021
59076,Bettignies,20020,2021
59077,Bettrechies,21650,2021
59078,Beugnies,22250,2021
59079,Beuvrages,17240,2021
59080,Beuvry-la-Forêt,26270,2021
59081,Bévillers,21020,2021
59082,Bierne,25380,2021
59083,Bissezeele,25420,2021
59084,Blaringhem,21910,2021
59085,Blécourt,23770,2021
59086,Boeschepe,24110,2021
59087,Boëseghem,21810,2021
59088,Bois-Grenier,29050,2021
59089,Bollezeele,21320,2021
59090,Boues,34880,2021
59091,Borre,25740,2021
59092,Bouchain,20600,2021
59093,Boulogne-sur-Helpe,21700,2021
59094,Bourbourg,19460,2021
59096,Bourghelles,29630,2021
59097,Boursies,22590,2021
59098,Bousbecque,24840,2021
59099,Bousies,20580,2021
59100,Bousignies,28510,2021
59101,Bousignies-sur-Roc,21990,2021
59102,Boussières-en-Cambrésis,20150,2021
59103,Boussières-sur-Sambre,24430,2021
59104,Boussois,19240,2021
59105,Bouvignies,26910,2021
59106,Bouvines,29690,2021
59107,Bray-Dunes,22410,2021
59108,Briastre,20340,2021
59109,Brillon,28010,2021
59110,Brouckerque,26560,2021
59111,Broxeele,21540,2021
59112,Bruay-sur-l'Escaut,17070,2021
59113,Bruille-lez-Marchiennes,20840,2021
59114,Bruille-Saint-Ama,24050,2021
59115,Brunémont,22760,2021
59116,Bry,29060,2021
59117,Bugnicourt,23300,2021
59118,Busigny,18570,2021
59119,Buysscheure,22420,2021
59120,Caëstre,25330,2021
59121,Cagnoncles,24470,2021
59122,Cambrai,19620,2021
59123,Camphin-en-Carembault,26920,2021
59124,Camphin-en-Pévèle,30120,2021
59125,Cantaing-sur-Escaut,24260,2021
59126,Cantin,21730,2021
59127,Capelle,24390,2021
59128,Capinghem,26300,2021
59129,Cappelle-en-Pévèle,27300,2021
59130,Cappelle-Brouck,23020,2021
59131,Cappelle-la-Grae,20700,2021
59132,Carnières,21580,2021
59133,Carnin,27100,2021
59134,Cartignies,21380,2021
59135,Cassel,23700,2021
59136,Le Cateau-Cambrésis,16820,2021
