code_commune,libelle_commune,code_region,code_departement,code_arrondissement,code_canton,population_municipale,population_comptee_a_part,population_totale,annee
59001,Abancourt,31,59,2,14,447,16,463,2011
59002,Abscon,31,59,6,21,4244,42,4286,2011
59003,Aibes,31,59,1,59,369,4,373,2011
59004,Aix,31,59,3,47,1113,18,1131,2011
59005,Allennes-les-Marais,31,59,5,57,3327,47,3374,2011
59006,Amfroipret,31,59,1,8,228,1,229,2011
59007,Anhiers,31,59,3,22,959,12,971,2011
59008,Aniche,31,59,3,24,10509,117,10626,2011
59010,Anneux,31,59,2,43,247,6,253,2011
59011,Annoeullin,31,59,5,57,9592,111,9703,2011
59012,Anor,31,59,1,64,3313,52,3365,2011
59013,Anstaing,31,59,5,33,1313,16,1329,2011
59014,Anzin,31,59,6,71,13479,213,13692,2011
59015,Arleux,31,59,3,1,3013,31,3044,2011
59016,Armbouts-Cappel,31,59,4,9,2468,51,2519,2011
59017,Armentières,31,59,5,2,25704,403,26107,2011
59018,Arnèke,31,59,4,16,1598,31,1629,2011
59019,Artres,31,59,6,67,1027,11,1038,2011
59021,Assevent,31,59,1,44,1798,20,1818,2011
59022,Attiches,31,59,5,48,2290,32,2322,2011
59023,Aubencheul-au-Bac,31,59,2,14,459,12,471,2011
59024,Auberchicourt,31,59,3,24,4512,33,4545,2011
59025,Aubers,31,59,5,7,1535,38,1573,2011
59026,Aubigny-au-Bac,31,59,3,1,1228,17,1245,2011
59027,Aubry-du-Hainaut,31,59,6,66,1462,31,1493,2011
59028,Auby,31,59,3,77,7498,44,7542,2011
59029,Auchy-lez-Orchies,31,59,3,47,1491,15,1506,2011
59031,Audignies,31,59,1,8,301,10,311,2011
59032,Aulnoy-lez-Valenciennes,31,59,6,67,7425,86,7511,2011
59033,Aulnoye-Aymeries,31,59,1,10,8692,206,8898,2011
59034,Avelin,31,59,5,48,2564,35,2599,2011
59035,Avesnelles,31,59,1,4,2486,46,2532,2011
59038,Avesnes-le-Sec,31,59,6,11,1380,19,1399,2011
59037,Avesnes-les-Aubert,31,59,2,15,3635,38,3673,2011
59036,Avesnes-sur-Helpe,31,59,1,86,4995,258,5253,2011
59039,Awoingt,31,59,2,13,775,19,794,2011
59041,Bachant,31,59,1,10,2400,37,2437,2011
59042,Bachy,31,59,5,20,1477,19,1496,2011
59043,Bailleul,31,59,4,87,14517,284,14801,2011
59044,Baisieux,31,59,5,33,4512,37,4549,2011
59045,Baives,31,59,1,64,159,0,159,2011
59046,Bambecque,31,59,4,31,739,18,757,2011
59047,Banteux,31,59,2,43,330,8,338,2011
59048,Bantigny,31,59,2,14,477,9,486,2011
59049,Bantouzelle,31,59,2,43,411,3,414,2011
59050,Bas-Lieu,31,59,1,3,324,6,330,2011
59051,La Bassée,31,59,5,7,6304,51,6355,2011
59052,Bauvin,31,59,5,57,5270,52,5322,2011
59053,Bavay,31,59,1,8,3480,87,3567,2011
59054,Bavinchove,31,59,4,16,925,22,947,2011
59055,Bazuel,31,59,2,17,553,6,559,2011
59056,Beaucamps-Ligny,31,59,5,74,883,34,917,2011
59057,Beaudignies,31,59,1,49,569,12,581,2011
59058,Beaufort,31,59,1,69,963,13,976,2011
59059,Beaumont-en-Cambrésis,31,59,2,17,467,3,470,2011
59060,Beaurain,31,59,2,58,225,2,227,2011
59061,Beaurepaire-sur-Sambre,31,59,1,4,258,6,264,2011
59062,Beaurieux,31,59,1,59,164,2,166,2011
59063,Beauvois-en-Cambrésis,31,59,2,15,2164,24,2188,2011
59064,Bellaing,31,59,6,66,1185,18,1203,2011
59065,Bellignies,31,59,1,8,883,12,895,2011
59066,Bérelles,31,59,1,59,169,4,173,2011
59067,Bergues,31,59,4,9,3898,99,3997,2011
59068,Berlaimont,31,59,1,10,3169,33,3202,2011
59069,Bermerain,31,59,2,58,649,9,658,2011
59070,Bermeries,31,59,1,8,397,9,406,2011
59071,Bersée,31,59,5,48,2255,30,2285,2011
59072,Bersillies,31,59,1,44,259,7,266,2011
59073,Berthen,31,59,4,6,512,10,522,2011
59074,Bertry,31,59,2,18,2222,33,2255,2011
59075,Béthencourt,31,59,2,15,760,7,767,2011
59076,Bettignies,31,59,1,44,252,5,257,2011
59077,Bettrechies,31,59,1,8,250,3,253,2011
59078,Beugnies,31,59,1,3,621,11,632,2011
59079,Beuvrages,31,59,6,71,6676,31,6707,2011
59080,Beuvry-la-Forêt,31,59,3,47,2750,40,2790,2011
59081,Bévillers,31,59,2,15,545,9,554,2011
59082,Bierne,31,59,4,9,1674,37,1711,2011
59083,Bissezeele,31,59,4,9,225,4,229,2011
59084,Blaringhem,31,59,4,29,1982,44,2026,2011
59085,Blécourt,31,59,2,14,357,11,368,2011
59086,Boeschepe,31,59,4,60,2193,45,2238,2011
59087,Boëseghem,31,59,4,30,699,12,711,2011
59088,Bois-Grenier,31,59,5,2,1511,36,1547,2011
